28395,610.291,208.17812,173.88875,1.19719,0.54981,28715,190.14110,0.76392,0.98886,0.95803,0.91336,0.00733,0.00315,0.83422,0.99872,0
28734,638.018,200.52480,182.73442,1.09736,0.41179,29172,191.27275,0.78397,0.98499,0.88703,0.95386,0.00698,0.00356,0.90985,0.99843,0
29380,624.110,212.82613,175.93114,1.20971,0.56273,29690,193.41090,0.77811,0.98956,0.94785,0.90877,0.00724,0.00305,0.82587,0.99907,0
30008,645.884,210.55800,182.51652,1.15364,0.49862,30724,195.46706,0.78268,0.97670,0.90394,0.92833,0.00702,0.00321,0.86179,0.99420,0
30140,620.134,201.84788,190.27928,1.06080,0.33368,30417,195.89650,0.77310,0.99089,0.98488,0.97052,0.00670,0.00366,0.94190,0.99917,0
30279,634.927,212.56056,181.51018,1.17107,0.52040,30600,196.34770,0.77569,0.98951,0.94385,0.92373,0.00702,0.00315,0.85327,0.99924,0
30477,670.033,211.05016,184.03905,1.14677,0.48948,30970,196.98863,0.76240,0.98408,0.85308,0.93337,0.00692,0.00324,0.87119,0.99905,0
30519,629.727,212.99676,182.73720,1.16559,0.51376,30847,197.12432,0.77068,0.98937,0.96711,0.92548,0.00698,0.00316,0.85651,0.99834,0
30685,635.681,213.53415,183.15715,1.16585,0.51408,31044,197.65970,0.77156,0.98844,0.95424,0.92566,0.00696,0.00315,0.85684,0.99895,0
30834,631.934,217.22781,180.89747,1.20083,0.55364,31120,198.13901,0.78368,0.99081,0.97028,0.91213,0.00705,0.00301,0.83197,0.99906,0
30917,640.765,213.56009,184.43987,1.15788,0.50410,31280,198.40551,0.77081,0.98840,0.94626,0.92904,0.00691,0.00317,0.86311,0.99938,0
31091,638.558,210.48625,188.32685,1.11766,0.44662,31458,198.96304,0.78638,0.98833,0.95817,0.94525,0.00677,0.00333,0.89351,0.99864,0
31107,640.594,214.64855,184.96925,1.16046,0.50737,31423,199.01423,0.76105,0.98994,0.95258,0.92716,0.00690,0.00315,0.85963,0.99756,0
31158,642.626,216.48484,183.64431,1.17883,0.52951,31492,199.17730,0.79876,0.98939,0.94812,0.92005,0.00695,0.00307,0.84650,0.99787,0
31158,641.105,212.06698,187.19296,1.13288,0.46992,31474,199.17730,0.78131,0.98996,0.95262,0.93922,0.00681,0.00327,0.88213,0.99935,0
31178,636.888,212.97593,186.56209,1.14158,0.48235,31520,199.24122,0.76411,0.98915,0.96590,0.93551,0.00683,0.00323,0.87518,0.99909,0
31202,644.454,215.64069,184.47168,1.16896,0.51787,31573,199.31789,0.77919,0.98825,0.94408,0.92431,0.00691,0.00311,0.85434,0.99869,0
31203,639.782,215.06774,184.87488,1.16332,0.51095,31558,199.32108,0.76298,0.98875,0.95795,0.92678,0.00689,0.00314,0.85893,0.99920,0
31272,638.666,212.45032,187.53594,1.13285,0.46988,31593,199.54134,0.77032,0.98984,0.96343,0.93924,0.00679,0.00326,0.88217,0.99936,0
